Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_20_873.jpg;0;0.5011375;0;0.04041271;99.67283;85.59332;0.108795;56.64315;0.0003650623
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_20_940.jpg;0;0.6997948;0;0.04235556;99.67563;85.59756;0.2070857;56.64583;0.0002407657
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_006.jpg;0;0.9001229;0;0.1031368;99.6828;85.60841;0.4499641;56.61368;-0.001038688
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_073.jpg;0;1;0;0.1278265;99.68989;85.61914;0.6544372;56.6277;-0.0002603379
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_140.jpg;0;1;0;0.222894;99.69956;85.63377;0.9116102;56.59984;-3.362159E-05
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_206.jpg;0;1;0;0.2668213;99.71516;85.6573;1.261637;56.52563;-0.0005884193
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_273.jpg;0;1;0;0.30404;99.72655;85.67439;1.315222;56.6192;-0.003552581
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_340.jpg;0;1;0;0.3934615;99.73782;85.69158;1.157013;56.72002;-0.001426786
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_406.jpg;0;1;0;0.4487638;99.75654;85.71997;1.037364;56.84021;-0.000170676
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_473.jpg;0;1;0;0.4862756;99.77336;85.74548;1.034569;56.90759;-0.001747826
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_540.jpg;0;1;0;0.5500281;99.79189;85.7737;1.072936;56.92461;-0.0007549482
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_606.jpg;0;1;0;0.6035199;99.81977;85.81622;1.189907;56.92517;-0.0006259778
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_674.jpg;0;1;0;0.63131;99.84193;85.84999;1.246622;56.93408;-0.001418347
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_739.jpg;1.472136;1;0;0.7104115;99.86526;85.8856;1.241013;56.95317;-0.0002552315
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_806.jpg;4.47489;1;0;0.7522445;99.89761;85.93763;1.199108;57.2126;-0.00190564
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_873.jpg;4.492078;1;0;0.8216482;99.92331;85.98048;1.196941;57.42776;-0.002092842
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_21_940.jpg;1.487253;1;0;0.8822073;99.95132;86.02637;1.223855;57.60113;-0.002052219
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_006.jpg;0;1;0;0.9390498;99.99188;86.09027;1.234232;57.58319;-0.001048464
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_073.jpg;0;1;0;0.9829012;100.0242;86.14076;1.225845;57.57824;-0.0008639766
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_139.jpg;0;1;0;1.047386;100.058;86.19354;1.211894;57.57164;-0.0004209779
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_206.jpg;0;1;0;1.096353;100.1058;86.26822;1.227159;57.56123;-0.0008492993
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_273.jpg;0;1;0;1.143514;100.1432;86.32659;1.21993;57.54333;-0.0006958498
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_340.jpg;3.006585;1;0;1.20611;100.1819;86.38802;1.227776;57.64844;-0.001459995
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_406.jpg;6.010916;1;0;1.249344;100.2333;86.47448;1.226114;58.14899;-0.002295949
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_473.jpg;3.021026;1;0;1.296901;100.2734;86.54262;1.236302;58.51109;-0.003464299
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_540.jpg;0.02658606;1;0;1.358283;100.3153;86.61257;1.237705;58.67093;-0.002131169
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_606.jpg;0;1;0;1.406578;100.3745;86.70927;1.244333;58.66529;-0.0009172492
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_673.jpg;0;1;0;1.453709;100.4207;86.78454;1.249681;58.65293;-0.0009486081
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_739.jpg;1.50341;1;0;1.517205;100.4683;86.86221;1.252376;58.66833;-0.00100716
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_806.jpg;4.493741;1;0;1.56228;100.532;86.9706;1.256411;59.06874;-0.003175387
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_873.jpg;4.484417;1;0;1.607483;100.5799;87.05544;1.254236;59.56614;-0.004026027
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_22_939.jpg;1.484592;1;0;1.66881;100.6293;87.14288;1.26736;59.90622;-0.003475442
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_006.jpg;0;1;0;1.71526;100.6985;87.26227;1.270596;59.97778;-0.001231711
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_073.jpg;0;1;0;1.761648;100.7522;87.35447;1.275287;59.97468;-0.001071324
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_139.jpg;0;1;0;1.822621;100.8074;87.44903;1.279416;59.96394;-0.001071193
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_206.jpg;0;1;0;1.868036;100.8831;87.57878;1.286761;59.94842;-0.001081737
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_272.jpg;0;1;0;1.912758;100.9415;87.67878;1.289329;59.93688;-0.001094041
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_339.jpg;-3.007218;1;0;1.973477;101.002;87.78065;1.291312;59.77345;-0.0003061823
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_406.jpg;-6.016774;1;0;2.01689;101.0873;87.91829;1.287539;59.06788;0.001656499
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_472.jpg;-8.992943;1;0;2.060254;101.1557;88.02232;1.288053;58.1476;359.9849
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_539.jpg;-11.99696;1;0;2.115133;101.2284;88.12601;1.266456;56.89122;359.9403
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_605.jpg;-14.99779;1;0;2.155267;101.3327;88.26172;1.159563;54.64978;359.8353
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_672.jpg;-15;1;0;2.195229;101.4163;88.36176;1.030481;52.77311;359.7303
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_740.jpg;-15;1;0;2.250361;101.5043;88.46045;0.8725238;50.86814;359.6073
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_807.jpg;-15;1;0;2.291141;101.6288;88.58978;0.635134;48.31059;359.412
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_872.jpg;-15;1;0;2.33132;101.7276;88.6849;0.4470705;46.3796;359.2443
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_23_938.jpg;-15;1;0;2.383941;101.8311;88.77817;0.2542334;44.43567;359.0638
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_24_005.jpg;-15;1;0;2.422265;101.9759;88.89944;359.9811;41.84629;358.8351
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_24_076.jpg;-15;1;0;2.460199;102.0909;88.9911;359.949;39.9955;358.7892
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_24_138.jpg;-15;1;0;2.509457;102.2117;89.08148;0.02348979;38.09656;358.8175
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_24_205.jpg;-15;1;0;2.54577;102.3798;89.19521;0.01667572;35.40237;358.9152
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_24_272.jpg;-15;1;0;2.584777;102.5129;89.27565;0.03825517;33.35545;358.9108
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_24_338.jpg;-15;1;0;2.636545;102.6504;89.35266;0.04181891;31.28743;358.8947
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_24_405.jpg;-15;1;0;2.675541;102.8402;89.44952;0.01018088;28.5314;358.8719
/media/mimoralea/data/mimoralea-arch/projects/robond/RoboND-Rover-Project/data_collection/IMG/robocam_2017_07_31_21_02_24_471.jpg;-15;0.9004965;0;2.71396;102.9879;89.51795;0.009385267;26.47869;358.8741
